5HT,ser-1
5HT,ser-4
5HT,ser-5
5HT,mod-1
DA,dop-1
DA,dop-2
DA,dop-3
DA,dop-4
DA,dop-5
DA,dop-6
5HT,dop-6
Octopamine,octr-1
Octopamine,ser-3
Octopamine,ser-6
Tyramine,ser-2
Tyramine,tyra-2
Tyramine,tyra-3
Octopamine,tyra-3
Tyramine,lgc-55
ACh,gar-1
ACh,gar-2
ACh,gar-3
ACh,unc-29
ACh,acr-2
ACh,unc-63
ACh,acr-14
ACh,acr-15
ACh,acr-16
ACh,eat-2
ACh,acr-12
ACh,lev-8
ACh,deg-3
ACh,des-2
ACh,acr-5
ACh,acr-18
ACh,acr-23
ACh,acc-1
ACh,acc-2
ACh,acc-4
GABA,lgc-38
GABA,gab-1
GABA,ggr-1
GABA,ggr-2
GABA,exp-1
GABA,lgc-35
GABA,gbb-1
Glu,mgl-1
Glu,mgl-3
Glu,glc-3
Glu,avr-15
Glu,glr-1
Glu,glr-2
Glu,glr-3
Glu,glr-4
Glu,glr-5
Glu,glr-8
Glu,nmr-1
Glu,nmr-2
Glu,glr-6
ACh,lgc-27
ACh,lgc-12
GABA,lgc-37
ACh,lgc-46
FLP-18,npr-1
FLP-18,npr-5
FLP-21,npr-1
FLP-10,npr-4
FLP-10,egl-6
FLP-1,npr-5
FLP-2,npr-5
NLP-1,npr-11
ACh,lev-1
ACh,unc-38
GABA,unc-49
Glu,avr-14
Glu,mgl-2
FLP-10,npr-3
FLP-7,frpr-3
FLP-11,frpr-3
PDF-2,pdfr-1
5HT,ser-7
ACh,acr-7
ACh,acr-8
Glu,glc-1
FLP-7,npr-22
FLP-11,npr-22
GABA,ggr-3
FLP-21,npr-2
FLP-15,npr-3
FLP-1,npr-4
FLP-4,npr-4
FLP-18,npr-4
FLP-21,npr-5
FLP-1,npr-11
FLP-5,npr-11
FLP-18,npr-11
FLP-21,npr-11
FLP-13,frpr-4
FLP-24,npr-17
NLP-12,ckr-2
NTC-1,ntr-1
FLP-17,egl-6
PDF-1,pdfr-1
