-ADEL,ADAL
-ADFL,ADAL
-AIAL,ADAL
-ASHL,ADAL
-PVPL,ADAL
-PVR,ADAL
-RMGL,ADAL
-ADER,ADAR
-ADFR,ADAR
-AIAR,ADAR
-ASHR,ADAR
-RICL,ADAR
-RICR,ADAR
-RIMR,ADAR
-RMGR,ADAR
-URBR,ADAR
-ADER,ADEL
-ALA,ADEL
-FLPL,ADEL
-IL2L,ADEL
-ADEL,ADER
-AVAR,ADER
-AVM,ADER
-FLPL,ADER
-FLPR,ADER
-IL2R,ADER
-ASHL,ADFL
-AWBL,ADFL
-AIYR,ADFR
-ASHR,ADFR
-AVHL,ADFR
-AWAR,ADFR
-AWBR,ADFR
-PVPR,ADFR
-RIH,ADFR
-AVHR,ADLL
-CEPVL,ADLL
-SDQR,ADLL
-AIAR,ADLR
-AVHR,ADLR
-AINR,AFDL
-ASER,AFDL
-AWAL,AFDL
-AINL,AFDR
-AINR,AFDR
-ASER,AFDR
-AWAR,AFDR
-RIR,AFDR
-ADLL,AIAL
-AIML,AIAL
-AINR,AIAL
-AIZL,AIAL
-ASEL,AIAL
-ASER,AIAL
-ASGL,AIAL
-ASHL,AIAL
-ASIR,AIAL
-ASKL,AIAL
-HSNL,AIAL
-PVQL,AIAL
-ADLR,AIAR
-AIMR,AIAR
-AIZR,AIAR
-ASER,AIAR
-ASGR,AIAR
-ASHR,AIAR
-ASIR,AIAR
-ASKR,AIAR
-AWCL,AIAR
-AWCR,AIAR
-PVQR,AIAR
-ADAR,AIBL
-ADLL,AIBL
-AIAL,AIBL
-AINR,AIBL
-AIZL,AIBL
-AIZR,AIBL
-ASEL,AIBL
-ASER,AIBL
-ASGL,AIBL
-ASHL,AIBL
-ASKL,AIBL
-AWCL,AIBL
-BAGL,AIBL
-DVC,AIBL
-FLPL,AIBL
-HSNR,AIBL
-PVT,AIBL
-RIBR,AIBL
-RIMR,AIBL
-SAADL,AIBL
-SAAVL,AIBL
-SDQR,AIBL
-ADAL,AIBR
-ADAR,AIBR
-ADLL,AIBR
-ADLR,AIBR
-AIAR,AIBR
-AIZL,AIBR
-AIZR,AIBR
-ASEL,AIBR
-ASER,AIBR
-ASGR,AIBR
-ASHR,AIBR
-ASIR,AIBR
-AWBL,AIBR
-AWCL,AIBR
-AWCR,AIBR
-DVC,AIBR
-FLPL,AIBR
-FLPR,AIBR
-HSNR,AIBR
-PVT,AIBR
-RIBL,AIBR
-SDQL,AIBR
-VB01,AIBR
-AIAL,AIML
-ASKL,AIML
-ASKR,AIMR
-RMGR,AIMR
-ASGL,AINR
-AIBL,AIYL
-ASEL,AIYL
-ASER,AIYL
-ASIL,AIYL
-AWAL,AIYL
-AWCL,AIYL
-AWCR,AIYL
-BAGR,AIYL
-ADFR,AIYR
-AFDR,AIYR
-ASEL,AIYR
-ASER,AIYR
-AUAR,AIYR
-AWAR,AIYR
-AWCR,AIYR
-ADFL,AIZL
-AIAL,AIZL
-AIYL,AIZL
-ASIL,AIZL
-AWAL,AIZL
-AWBL,AIZL
-DVA,AIZL
-HSNL,AIZL
-HSNR,AIZL
-RIH,AIZL
-RIR,AIZL
-ADFR,AIZR
-AIAR,AIZR
-AIYR,AIZR
-AWAR,AIZR
-AWBR,AIZR
-HSNL,AIZR
-HSNR,AIZR
-RIGL,AIZR
-RIH,AIZR
-RIR,AIZR
-ADER,ALA
-AIML,ALML
-RIFL,ALML
-RMGL,ALML
-SDQL,ALML
-BDUR,ALMR
-RIGL,ALNL
-RMGL,ALNL
-SAAVL,ALNL
-RIGR,ALNR
-RMGR,ALNR
-AVHR,AQR
-DVA,AQR
-PVCR,AQR
-PVPL,AQR
-PVPR,AQR
-AVEL,AS01
-AVER,AS01
-AVER,AS02
-RID,AS02
-AVDL,AS04
-PLMR,AS06
-AVAL,AS10
-AVAR,AS10
-AVDL,AS10
-AVAL,AS11
-AVAR,AS11
-AVDL,AS11
-PDA,AS11
-AINL,ASEL
-AINR,ASEL
-AIZL,ASEL
-AWAL,ASEL
-AWAR,ASEL
-AWCL,ASEL
-AWCR,ASEL
-ADLL,ASER
-AFDR,ASER
-AIAL,ASER
-AIAR,ASER
-AIBL,ASER
-AINR,ASER
-AWAR,ASER
-PVQR,ASER
-AIAL,ASGL
-AIML,ASGL
-AWAL,ASGL
-AIAR,ASGR
-AIMR,ASGR
-AWCR,ASGR
-CEPVR,ASGR
